id,origen,depe,fondo,norma_cs_aplica,origen_recurso,modifica
77,Picaso,,PROGRAMA NACIONAL DE INGLÉS,FEDERAL,FEDERAL,crobledo|23/09/2019&
78,Picaso,,PROGRAMA NACIONAL DE CONVIVENCIA ESCOLAR,FEDERAL,FEDERAL,crobledo|23/09/2019&
79,Picaso,,PROGRAMA DE LA REFORMA EDUCATIVA,FEDERAL,FEDERAL,crobledo|23/09/2019&
80,Picaso,,PROGRAMA FORTALECIMIENTO DE LA CALIDAD EDUCATIVA - COORDINACIÓN GENERAL DE UNIVERSIDADES TECNOLÓGICAS Y POLITÉCNICAS,FEDERAL,FEDERAL,crobledo|23/09/2019&
81,Picaso,,PROGRAMA NACIONAL DE BECAS - BECAS DEL COLEGIO NACIONAL DE EDUCACIÓN PROFESIONAL TÉCNICA CONALEP,FEDERAL,FEDERAL,crobledo|23/09/2019&
82,Picaso,,PROGRAMA CULTURA FÍSICA Y DEPORTE,FEDERAL,FEDERAL,crobledo|23/09/2019&
83,Picaso,,PROGRAMA NACIONAL DE BECAS - BECA DE APOYO A LA PRÁCTICA INTENSIVA Y SERVICIO SOCIAL,FEDERAL,FEDERAL,crobledo|23/09/2019&
84,Picaso,,PROGRAMA NACIONAL DE BECAS - BECA DE APOYO A LA EDUCACIÓN BÁSICA DE MADRES JÓVENES Y JÓVENES EMBARAZADAS,FEDERAL,FEDERAL,crobledo|23/09/2019&
85,Picaso,,PROGRAMA FORTALECIMIENTO DE LA CALIDAD EDUCATIVA - PLAN DE APOYO A LA CALIDAD EDUCATIVA Y LA TRANSFORMACIÓN DE LAS ESCUELAS NORMALES (PACTEN),FEDERAL,FEDERAL,crobledo|23/09/2019&
86,Picaso,,PROGRAMA PARA LA INCLUSIÓN Y EQUIDAD EDUCATIVA ? TIPO BÁSICO A CARGO DE LA DIRECCIÓN GENERAL DE DESARROLLO CURRICULAR,FEDERAL,FEDERAL,crobledo|23/09/2019&
87,Picaso,,PROGRAMA PARA LA INCLUSIÓN Y LA EQUIDAD EDUCATIVA - TIPO BÁSICO A CARGO DE LA DIRECCIÓN  GENERAL DE EDUCACIÓN INDÍGENA,FEDERAL,FEDERAL,crobledo|23/09/2019&
88,Picaso,,PROGRAMA PARA EL DESARROLLO PROFESIONAL DOCENTE - COORDINACIÓN GENERAL DE UNIVERSIDADES TECNOLÓGICAS Y POLITÉCNICAS,FEDERAL,FEDERAL,crobledo|23/09/2019&
89,Picaso,,PROGRAMA DE EXPANSIÓN DE LA EDUCACIÓN INICIAL,FEDERAL,FEDERAL,crobledo|23/09/2019&
90,Picaso,,PROGRAMA DE ATENCIÓN A PERSONAS CON DISCAPACIDAD,FEDERAL,FEDERAL,crobledo|23/09/2019&
91,Picaso,,PROGRAMA SEGURO MÉDICO SIGLO XXI,FEDERAL,FEDERAL,crobledo|23/09/2019&
92,Picaso,,PROGRAMA FORTALECIMIENTO A LA ATENCIÓN MÉDICA,FEDERAL,FEDERAL,crobledo|23/09/2019&
93,Picaso,,SEGURO POPULAR,FEDERAL,FEDERAL,crobledo|23/09/2019&
94,Picaso,,PROGRAMA PREVENCIÓN Y ATENCIÓN CONTRA LAS ADICCIONES - PROGRAMA DE SUBSIDIOS PARA TRATAMIENTO RESIDENCIAL DE LAS ADICCIONES,FEDERAL,FEDERAL,crobledo|23/09/2019&
95,Picaso,,PROGRAMA DE APOYO AL EMPLEO,FEDERAL,FEDERAL,crobledo|23/09/2019&
96,Picaso,,"PROGRAMA DE AGUA POTABLE, DRENAJE Y TRATAMIENTO (APARTADO RURAL)",FEDERAL,FEDERAL,crobledo|23/09/2019&
97,Picaso,,"PROGRAMA DE AGUA POTABLE, DRENAJE Y TRATAMIENTO (APARTADO URBANO)",FEDERAL,FEDERAL,crobledo|23/09/2019&
98,Picaso,,PROGRAMA DE APOYO A LAS INSTANCIAS DE MUJERES EN LAS ENTIDADES FEDERATIVAS (PAIMEF),FEDERAL,FEDERAL,crobledo|23/09/2019&
99,Picaso,,PROGRAMA DE FORTALECIMIENTO A LA TRANSVERSALIDAD DE LA PERSPECTIVA DE GÉNERO,FEDERAL,FEDERAL,crobledo|23/09/2019&
100,Picaso,,"PROGRAMA DE APOYOS A LA CULTURA - APOYO A INSTITUCIONES ESTATALES DE CULTURA, AIEC",FEDERAL,FEDERAL,crobledo|23/09/2019&
